categories,Question (japanese),Question(english),Answer (english),Answer (japanese)
For Everyone,Devprotocolとはなんですか？,What is the Dev Protocol?,"The Dev Protocol is a way for creators who run projects such as OSS and Open Access to earn income opportunities and achieve sustainability.
The Dev Protocol aims to create a world where innovators can take on challenges and solve problems that might not be financially viable, but offer value. Creators who create technically socially valuable project that might not be economically viable are now able to find an alternative way for funding. Reference article: https://initto.devprotocol.xyz/en/what-is-protocol/","Dev Protocolは、OSSやオープンアクセスといったプロジェクトでクリエイターが収益を得る機会と持続可能性を達成する方法です。
Dev Protocolの目標は資金的な理由で存続が難しいイノベーターが挑戦をして社会問題を解決し、価値を提供する世界を創造することです。技術的にも社会的にも価値があるプロジェクトを作り出すが経済的な困難を抱えるクリエイターが資金提供の新たな方法を利用することができます。詳しくはこちらの関連記事をご参照ください：https://initto.devprotocol.xyz/en/what-is-protocol/
"
For Everyone,DEVトークンを購入する方法は何ですか？,What is the way for buying DEV token?,The easiest way to buy DEV tokens is to get Ethereum in a wallet and swap it for DEV on Uniswap V2,DEVトークンを購入する最も簡単な方法はウォレットにイーサリアムを置き、Uniswap V2でDEVと交換することです。
For Everyone,DEVトークンとは何か、そのメリットは何か？,What is a DEV token and what its benefits? ,"The DEV Token is the utility token that allows the Dev Protocol ecosystem to exist, through it Creators and Patrons are rewarded.",DEVトークンはDev Protocolのエコシステムが存続するためのユーティリティトークンです。このエコシステムによってクリエイターとパトロンの両者が報酬を得ます。
For Everyone,DEVトークンはどこで使用できますか？,Where can I use my DEV token?,"The DEV Tokens can be used to stake (fund) for an OSS Project, provide liquidity or used as a currency.",DEVトークンはOSSプロジェクトへのステーキング（資金提供）、流動性提供、通貨として使用されることがあります。
For Everyone,Dev Protocolのロードマップはどこで見ることができますか？,Where can I find the Dev Protocol roadmap?,"Best place to find the current roadmap is on our website, devprotocol.xyz","我々のウェブサイト、devprotocol.xyzにて現在のロードマップを確認することができます。
"
For Everyone,DEVトークンは証券ですか？,Is the DEV token a security?,"We don't believe DEV tokens are considered securities for multiple reasons. First even if creators don't hold any DEV, they can receive DEV as their reward in compensation for their activities. While there is a staking reward built in to incentivize interaction. Users that stake on creators are doing so to signal their importance rather than an expectation of a reward. The DEV token in our eyes is strictly a utility token used to aid the ecosystem.",DEVトークンが証券とみなされるとは予想しておりません。具体的には、クリエイターはDEVを保有していなくても、自分の活動の対価としてDEVを報酬として受け取ることができ、支援者はステーキングにより自分の保有DEVをロックした対価として報酬を受け取ることができます。また、ステーキングを解除することでロックしていた自分のDEVを全額引き出すことができます。
,,,,
,,,,
For Creators,クリエイターはどうやってDev Protocolで稼ぐことができますか？,How can creators make money with Dev Protocol?,"
Creators have to onboard their projects on stakes.social, Patrons can Stake DEV tokens on their project's pool and sustainably fund them via DEV Token Rewards.",クリエイターはstakes.social上にプロジェクトをオンボードする必要があります。パトロンはプロジェクトのプールにDEVトークンをステーキングし、DEVトークンん報酬を通じて持続可能な資金提供をすることができます。
For Creators,stakes.socialの使い方は？,How to use stakes.social?,"
It is really straight forward, visit stakes.social, connect your wallet find the project you like the most and stake DEV tokens to sustainably fund them.",使い方は非常にシンプルです。stakes.socialにアクセスし、ご自身のウォレットを好きなプロジェクトに接続すれば、持続的な資金提供をプロジェクトにするためにDEVトークンをステーキングすることができます。
For Creators,OSSしか登録できませんか？,Can I only register OSS?,"Stakes social allows onboarding of only OSS developers at the moment, but we are moving towards more creators through stakes social and other platforms.","現在、Stakes.socialにはOSS開発者しかオンボードすることができません。しかしDev Protocolは今後、stakes.socialやその他のプラットフォームを通じてより多くのクリエイターに対象を拡大していく予定です。
"
For Creators,開発中のプロジェクト（未完成）は登録できませんか？,Can I register a project that is under development (not yet completed)?,"
Projects that are being developed can be registered. However development must be recent and ongoing.",開発中のプロジェクトでも登録可能です。
For Creators,資金調達をしているプロジェクトは登録できませんか？,Can I register a project that is raising funds?,"
Projects that are being fund-raised can be registered.",資金調達をしているプロジェクトも登録可能です。
For Creators,OSSプロジェクトを宣伝してstakes.socialでスポンサーを獲得するには？,How to promote my OSS project to get sponsor on stakes.social?,"
The best way is by sharing DEV within your own community. Explain to them how Dev Protocol allows sustainable fundingl, how patrons also receive rewards, and how it's different from a simple donation. The bigger the project gets, the more you have the chance for others outside your community to find your project.",最も良い方法は自分自身のコミュニティ内でDEVを共有することです。そこでDev Protocolが持続可能な資金提供を可能にする方法を説明し、パトロンの報酬受け取り方法についても説明し、単なる寄付とは違うことを説明することです。プロジェクトが大きくなればなるほど、コミュニティ外の人々がプロジェクトを見つけやすくなります。
For Creators,プロパティトークンの名前変更はできますか？,Can Property Token's name be changed ? ,"
To rename or rename a PropertyToken, you can look for the address of the Property on Etherscan and execute changeName / changeSimbol from the Write Contract of the Contract.",プロパティトークンの名前変更をするためには、イーサスキャンのプロパティアドレスを確認して、コントラクトのWrite Contractから changeName / changeSimbol を実行してください。
For Creators,クリエイター報酬はいつ引き出せますか？（プロジェクトオーナー）,When can I withdraw my creators' fees? (Project Owner),"You can withdraw your Creator Reward at any time. Just pay attention to gas fees, they are varaible and can affect your decision to withdraw. There is a yearly limit in place for larger creators which you can learn more about by looking at DIP-55.","クリエイター報酬はいつでも引き出すことが可能です。ただし引き出す際にはガス代がかかり、ガス代は変動するので、引き出すかどうかの決定に多少影響する可能性があります。また大規模クリエイターの場合には毎年上限が設けられています。この件に関してはDIP-55をご参照ください。
"
For Creators,プロジェクトのチームメンバーは、クリエイター報酬をいつ引き出せますか？,When can project team members withdraw their creator fees?,"
Project team members can withdraw Creator Reward at any time they want. Just pay attention to gas fees, they are varaible and can affect your decision to withdraw. Also, remember that there is a yearly limit in place (DIP-55).",プロジェクトのチームメンバーはクリエイター報酬をいつでも引き出すことが可能です。ただし引き出す際にはガス代がかかり、ガス代は変動するので、引き出すかどうかの決定に多少影響する可能性があります。また、毎年の上限が設けられていることにご注意ください（DIP-55を参照）。
For Creators,Dev Protocolの利用を辞めることはできますか？,Can I stop using the Dev Protocol?,"Creators can stop using Dev Protocol if they deauthenticate their markets. Stakers can quit if they stop their staking. Unlike memberships of fitness clubs or subscription service, you don't have any particular procedures to quit such as submitting documents.","クリエイターならマーケットの認証を解除することで辞めることができます。ステイカーは、ステーキングを解除することで辞めることができます。スポーツクラブやサブスクリプションサービスのような退会手続きはございません。

"
For Creators,活動を辞める場合はどうしたらいいですか？,What should I do if I want to stop the activity?,"
You can stop accepting staking by deauthentication. ","アセットの認証を解除することでステーキングの受付を終了することができます。
"
For Creators,Propertyトークンは証券ですか？発行する際のリスクはありますか？,Are Property tokens securities? Are there any risks involved in issuing them?,We also don't believe that Property tokens are considered securities either. They are more like a membership for projects to join them or access them as a member.,"プロパティトークンが証券とみなされるとは想定していません。
プロパティトークンはプロジェクトの会員権のようなものであり、プロジェクトのガバナンスに参加したり、プロジェクトにチームの一員としてアクセスができたりするものです。"
,,,,
,,,,
For Stakers,ステーキングすると、全てのプロジェクトに報酬が分散されますか？,"If I stake on a project, will the reward be spread across all projects?","
The Reward will only be given for the projects you stake DEV to.",報酬はDEVをステーキングしたプロジェクトのみに配布されます。
For Stakers,ステーキング報酬はいつ引き出せますか？,When can I withdraw my staking rewards?,"
You can withdraw your Staking Reward at any time you want. Just pay attention to gas fees they are varaible and can affect your decision to withdraw. ",ステーキング報酬はいつでも引き出すことが可能です。ただし引き出す際にはガス代かかり、ガス代は変動するので、引き出すかどうかの決定に多少影響する可能性があります。
For Stakers,どうすればDEVトークンの安全性を確保できますか？,How can I assure that DEV token is safe?,"
DEV tokens are ERC-20 compliant. As long as you have a wallet that supports ERC-20, your DEV tokens are secured. Please make sure that you save your secret key in a safe place, or make backups for it. Do NOT upload or share your keys.",DEVトークンはERC-20に準拠しています。ERC-20をサポートしているウォレットを持っていれば、DEVトークンの安全性は保障されます。ただし秘密鍵（シークレットキー）は安全な場所に保存し、バックアップを取っておいてください。決して秘密鍵をアップロードしたり他者と共有したりしないでください。
For Stakers,DEVトークンを引き出すにはどうすればいいですか？,How to withdraw my DEV token?,"
Simply connect your wallet to stakes.social, go to the creator page that you're staking on, and you'll find a withdraw button. If you want to withdraw everything, click on DEV on the right side of the box and it should automatically show the maximum value you have staked. If you want to withdraw only a certain amount of DEV, just type that number. If you want to just withdraw your Rewards, type 0 and click on the withdraw button. ",stakes.socialにご自身のウォレットを接続し、ステーキングをしているクリエイターのページに行って、「引き出す（withdraw）」ボタンを押す、というものがシンプルな方法です。もし全額を引き出したい場合、右側のボックスにあるDEVをクリックすれば、ご自身がステーキングした金額の上限が自動的に表示されます。一定量のDEVのみを引き出したい場合は、その額を入力してください。報酬だけを引き出したい場合は、0と入力し、引き出すボタンを押してくださいい。
For Stakers,stakes.socialを利用するメリットは何ですか？,What is the benefits of using stakes.social?,"
For Patrons, using stakes social allows you to recieve rewards while funding your favorite Creator; For Creators, using stakes social allows you to monetize your OSS Project and receive rewards from your Patrons.",パトロンがstakes.socialを利用することにより、好きなクリエイターに資金提供をしながら報酬を得ることが可能となります。クリエイターがstakes.socialを利用することにより、OSSプロジェクトを収益化してパトロンから報酬を得ることが可能となります。
For Stakers,DEVプロトコルが対応しているウォレットは？,What are the wallet that DEV Protocol supported?,"

You can use various wallets such as Metamask, WalletConnect, Fortmatic, WalletLink, etc.","Metamaskをはじめ、WalletConnectやFortmatic, WalletLinkで様々なWalletを使用することが可能です。"
,,,,
,,,,
For Developers,Dappを使って例えばどういったことができますか。,"What can you do with a Dapp, for example?","
You can interact with the smart contract easily with a web experience, it can be anything, from taking a loan to buying an NFT, to funding a creator, the possiblities are endless.",ユーザーはウェブ体験で簡単にスマートコントラクトを利用することが可能で、融資を受ける、NFTを購入する、クリエイターに資金提供をする等の様々なことが可能となり、可能性は無限大です。
For Developers,新マーケットを開設することはできますか？,Can I establish a new market?,"
To establish a new market, get in touch with the Dev Protocol team, preferrably through Discord, after discussions, if the market is approved it will go through the DAO voting to be implemented. ",新マーケットの開設を希望をする方は、Dev Protocolチームに連絡をください。Discord上での連絡が好ましいです。ヒアリングをさせていただいた後、ご提案のマーケットが承認された場合、開設するためのDAO投票に移ります。
,,,,
,,,,
For Crypto Beginners,ガス料金は何のためにあるのですか？,What is the gas fee for?,"
Gas is the fee that is required to run computational resources to successfully execute a transaction on the Ethereum blockchain. ",ガス代は手数料のことで、イーサリアムブロックチェーンで確実に取引を実行する際の計算リソースを機能させるために必要となります。
For Crypto Beginners,ブロックチェーンとは何か、なぜそれが暗号通貨にとって重要なのか。,What is blockchain and why is it important to cryptocurrency?,"
A blockchain refers to an immutable time-stamped series of data records supervised by a cluster of computers not owned by any single entity. Blockchain serves as the base technology for cryptocurrencies, enabling peer-to-peer transactions that are open, secure and fast.",ブロックチェーンとは変更不可能な一連のタイムスタンプされたデータ記録のことで、単一の団体によって所有されていないコンピューター集団が監督しています。ブロックチェーンは暗号通貨に関するテクノロジーの基礎となっており、オープンで、安全な、速いP2Pの取引を可能にします。
For Crypto Beginners,DEV Tokenの価格は変動しますか？,Will DEV Token prices fluctuate?,"
Yes. The price of the DEV token is determined by the market.",はい。DEVトークンの価格は市場によって決まります。
For Crypto Beginners,流動性とは何ですか？,What is liquidity?,"
Liquidity is a characteristic of a market that tells how easy it is to buy and sell an asset without moving the price. In crypto proividing liquidity is the act of depositing tokens in a pool with another token (usually ETH) to form a market. Liquidity providers usually get shares of that market and can receive a bonus - Liquidity program bonus - (Geyser on Dev Protocol for example).",流動性は市場の特徴の一つで、値段が変動せずに資産を簡単に購入できるかどうかを示すものです。暗号資産における流動性提供とは、マーケットを形作るために別のトークン（多くの場合ETH）のプールにトークンをデポジットする行為のことです。流動性提供者は多くの場合その市場のシェアを得て、流動性プログラムボーナスというボーナスを受け取ることができます（Dev ProtocolではGeyserがそのボーナスの例です）。
For Crypto Beginners,ガス代はどのようにして算出されますか？,How is the gas price calculated?,"
The gas fees depends on the usage of the Ethereum network. Every operation that happens on this network requires gas to be executed, so the bigger the demand for the network, the bigger the gas fees will be.",ガス代はイーサリアムネットワークの使用によって変化します。イーサリアムネットワーク上で発生するあらゆる動作にガス代が実行されるので、ネットワークの需要が大きいほどガス代も高くなります。
For Crypto Beginners,ブロックチェーンウォレットとは何ですか？,What is a blockchain wallet?,"
A blockchain wallet allows users to store and manage their Bitcoin, Ether, and other cryptocurrencies,  it also allows transactions to occur and interacts with dApps, like stakes.social.",ブロックチェーンウォレットはユーザーがビットコイン、イーサやその他の暗号通貨を保持したり管理したりすることができるものです。またウォレットは取引を可能にし、stakes.socialといったDappsと連携しすることもできます。
